"동별(1)",동별(2),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
"동별(1)",동별(2),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명),한국인 (명)
"합계",소계,9428372,9509458,9668465,9729107,9765623,9857426,9930616,10022181,10103233,10143645,10195318,10249679,10312545,10208302,10200827,10192710,10181166,10167344,10173162,10174086,10207295,10263336,10311314,10264260,10270506,10336134,10418076
"합계",종로구,141379,144683,149384,151290,153065,154770,152737,154986,156993,160070,165207,168382,170578,168603,170705,165846,166793,169315,174372,177519,181231,184225,186378,186590,188732,194696,197563
"합계",중구,120437,122499,125240,126171,125725,125709,125249,125733,128065,130465,133360,133193,132822,129465,130362,130044,130649,130027,131971,134548,138134,143016,141010,126254,122500,126892,132189
"합계",용산구,218650,222953,230040,228670,228999,229161,230241,233342,235951,239740,243232,246501,244853,238708,238224,235832,232035,230260,230107,231871,234653,241033,240087,237489,239282,238304,247694
"합계",성동구,281000,285990,293556,300889,308221,304808,299259,297003,296086,299337,299604,300711,309093,308058,314212,333535,334437,337744,339113,339368,340773,341375,340790,339175,321945,324615,329914
"합계",광진구,337416,339996,346682,351350,355559,357703,357215,360369,363354,368927,371313,371936,375463,373998,375482,376572,374442,375613,380537,384929,386511,388109,391309,390061,395921,396580,390739
"합계",동대문구,336644,337400,342837,346194,348052,350647,355069,360153,363687,364273,363258,365486,366786,362146,370250,376421,378860,381110,379404,382875,381841,381799,380444,367025,377724,388172,398060
"합계",중랑구,385318,387350,394702,397015,403209,408226,411005,413909,418836,416798,419295,423706,427455,424761,427871,427071,426078,427373,433858,436089,442125,448928,458440,461737,467001,475089,477850
"합계",성북구,430397,430528,437153,442650,435868,444055,450355,459275,466706,476589,481857,485171,488932,476028,473357,469973,472843,462879,451122,453057,443809,450602,460862,472929,478830,476502,485240
"합계",강북구,293660,299182,308055,313954,319164,324479,327195,330873,335025,338707,343157,345054,346520,340367,342274,345478,348990,353260,360525,360663,361896,351404,351995,352142,360814,367787,379062
"합계",도봉구,311694,317366,325257,333362,339413,344166,348220,351242,353709,358582,362270,365573,368298,369733,373936,375975,377534,381529,381939,376599,371911,371259,370976,375275,380844,387808,381465
"합계",노원구,503734,510956,523037,532905,543752,554403,567581,574583,582552,590479,597189,603930,611230,610616,615981,616753,618093,622003,628184,631931,641652,646905,632634,617500,594851,586284,585907
"합계",은평구,466746,473307,479835,480032,483197,486794,491476,497920,498644,503660,501480,493634,488109,465895,458401,459196,464580,470751,478087,474778,470205,467719,469417,472464,479841,490500,497417
"합계",서대문구,306337,304819,312173,309397,310313,312800,314194,312141,310376,314110,315113,314852,324541,327451,331688,348575,349020,349163,352071,355753,362614,366228,367380,365783,361733,354084,361529
"합계",마포구,364638,368905,371890,374035,375077,374915,379892,387643,385439,381856,384644,389493,391865,384013,385119,392650,390583,388164,383457,379451,375417,379141,387308,385114,384550,388736,390831
"합계",양천구,440881,447302,454251,458165,464185,471154,477739,484532,486221,492528,495911,500210,500001,501395,502343,503650,501717,499755,495098,486962,484518,484345,486781,480313,483674,484538,485497
"합계",강서구,569166,574315,580185,591796,596949,601691,595485,589074,585160,569070,567431,569072,574127,572836,576848,560424,554945,553660,541671,537003,528321,521489,521231,519786,516590,518067,522640
"합계",구로구,395315,396754,404408,406664,404497,410742,417551,422092,425831,424964,427520,427468,423736,421967,420795,420542,419832,416405,416828,412845,413363,415330,403097,395294,380623,376436,377391
"합계",금천구,229642,230811,231733,232810,233917,235154,235386,236284,238463,241020,243288,243438,245195,244835,247320,249108,253243,256902,259633,261224,261413,260476,266431,268629,272276,270764,271718
"합계",영등포구,375675,376837,379480,367678,367778,368550,370613,378504,382352,386471,391408,397443,406833,405798,408099,408178,408698,408386,406261,403327,408753,406860,406510,404306,403380,404017,405326
"합계",동작구,380596,385483,391220,395963,396203,396217,400997,400641,407470,410815,405491,401408,402709,397920,400866,405967,408582,410481,410945,410360,403047,406116,415892,419161,424636,430950,433608
"합계",관악구,486752,485699,495060,500094,501957,503297,506851,509663,513186,518028,523029,526397,531434,529869,534556,535571,535217,530020,530156,522456,522207,527764,524404,517552,525729,533577,542325
"합계",서초구,404325,412279,425126,430826,433951,441102,447192,446764,449678,441763,435044,433564,434720,425481,406320,405969,408266,401736,400868,394757,389256,393849,397869,400950,401179,403506,405743
"합계",강남구,529102,533042,539231,545169,542364,556164,567115,576495,578114,563599,564197,565710,570095,562138,557832,560958,556964,540909,531517,528977,535138,540640,550343,552293,550387,550803,552768
"합계",송파구,658801,658338,667960,675961,666635,664496,657831,660302,664738,668415,673115,682209,685279,681476,668962,623876,607005,605840,604293,619514,647037,655483,663177,665918,668879,674577,668987
"합계",강동구,460067,462664,459970,436067,427573,436223,444168,458658,476597,483379,487905,495138,491871,484745,469024,464546,461760,464059,471145,477230,481470,489241,496549,490520,488585,492850,496613
