District,Facility classification (large),Facility classification (small),Model,Operating institution,Rapid charging amount,Charger type,Charger ID,latitude,longitude
Gangnam-gu,Commercial Facility,Lodging Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5053029,127.0288672
Gangdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5528461,127.1378999
Gangdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5447886,127.1218778
Gangdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5389173,127.1332434
Gangseo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5375004,126.8393625
Gangseo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5290453,126.8489082
Gangseo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5414777,126.8443888
Gangseo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5530328,126.8484635
Gangseo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5584079,126.8550157
Gwanak-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.48736239999999,126.9234861
Gwanak-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4725751,126.9213516
Gwanak-gu,Other Facility,Public Phone Booth,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4763345,126.9583943
Gwanak-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4885797,126.9344961
Gwanak-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.4885797,126.9344961
Gwanak-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4700127,126.9293133
Gwangjin-gu,Tourism Facility,Tourist Attraction,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5495886,127.081578
Guro-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5094204,126.8877437
Nowon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.646548,127.0710901
Nowon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6399182,127.0686084
Nowon-gu,Tourism Facility,Promotion Office,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6386727,127.0740174
Nowon-gu,Tourism Facility,Promotion Office,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.6386727,127.0740174
