"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"1";"영업/정상";"서울특별시 종로구 경운동 96-18";"서울특별시 종로구 율곡로 58 (경운동)";"에이치디현대오일뱅크(주)직영 재동주유소";1959-09-10;NA
"2";"폐업";"서울특별시 구로구 구로동 551-95 ";"서울특별시 구로구 구로중앙로32가길 44 (구로동)";"신신석유";1960-06-23;"20160422"
"3";"폐업";"서울특별시 성북구 장위동 68-632 ";"서울특별시 성북구 화랑로19가길 9  (장위동)";"만석상회";1968-08-08;"20080101"
"4";"폐업";"서울특별시 종로구 익선동 123-2 ";"서울특별시 종로구 삼일대로30길 46 (익선동)";"형제석유";1968-08-31;"20170529"
"5";"폐업";"서울특별시 종로구 사직동 65-1 ";NA;"순흥석유";1968-09-13;NA
"6";"폐업";"서울특별시 은평구 녹번동 117-111 ";"서울특별시 은평구 진흥로 196 (녹번동)";"황해석유";1968-09-23;"20130418"
"7";"폐업";"서울특별시 도봉구 창동 715-14 ";"서울특별시 도봉구 도봉로 558 (창동)";"현대오일뱅크(주)직영 창동주유소";1968-11-06;"20131031"
"8";"폐업";"서울특별시 성북구 장위동 225-53 ";"서울특별시 성북구 장위로 59  (장위동)";"동방석유";1968-11-07;"20080101"
"9";"폐업";"서울특별시 서대문구 북아현동 174-21 ";NA;"북아현석유";1968-11-18;"20110613"
"10";"폐업";"서울특별시 성북구 길음동 633-1 ";NA;"칠보석유";1968-11-19;"20080101"
"11";"폐업";"서울특별시 은평구 녹번동 55-9 ";"서울특별시 은평구 통일로 606  (녹번동)";"서부석유";1968-11-21;NA
"12";"영업/정상";"서울특별시 종로구 부암동 162-1 6통6반 ";"서울특별시 종로구 자하문로 245 (부암동)";"자문석유";1969-01-15;NA
"13";"폐업";"서울특별시 성북구 성북동1가 133-56 ";NA;"삼오석유";1969-03-28;"20080101"
"14";"취소/말소/만료/정지/중지";"서울특별시 종로구 평창동 300-1 ";"서울특별시 종로구 세검정로 317 (평창동)";"평창광유";1969-04-18;NA
"15";"영업/정상";"서울특별시 종로구 중학동 14 ";"서울특별시 종로구 율곡로 6 (중학동)";"주식회사 대양씨앤씨 경복궁주유소";1969-07-06;NA
"16";"폐업";"서울특별시 성북구 삼선동5가 92-1 ";"서울특별시 성북구 보문로31길 50  (삼선동5가)";"삼선석유";1969-08-27;"20080101"
"17";"폐업";"서울특별시 성동구 금호동3가 209 ";"서울특별시 성동구 무수막길 1  (금호동3가)";"여주 상회";1969-10-29;NA
"18";"폐업";"서울특별시 성북구 하월곡동 81-297 ";"서울특별시 성북구 오패산로19길 20  (하월곡동)";"대성석유";1969-11-14;"20080101"
"19";"폐업";"서울특별시 성동구 금호동3가 620 ";"서울특별시 성동구 무수막길 41  (금호동3가)";"(주)보고유화";1970-05-31;"20160727"
"20";"폐업";"서울특별시 종로구 숭인동 1367 ";"서울특별시 종로구 난계로 259  (숭인동)";"경일주유소";1970-06-01;NA
"21";"폐업";"서울특별시 종로구 누상동 55-3 101호 ";"서울특별시 종로구 옥인길 19 (누상동)";"연합에너지";1970-06-20;"20120709"
"22";"영업/정상";"서울특별시 도봉구 쌍문동 103-7";"서울특별시 도봉구 도봉로 437 (쌍문동)";"삼미상사(주)북부주유소";1970-06-22;NA
"23";"폐업";"서울특별시 종로구 평동 9-11 ";"서울특별시 종로구 경교장1길 18 (평동)";"서대문석유상사";1970-07-03;"20131029"
"24";"영업/정상";"서울특별시 구로구 오류동 115-1    ";NA;"(주)신강석유";1970-07-04;NA
"25";"폐업";"서울특별시 은평구 역촌동 64-53 ";"서울특별시 은평구 연서로3가길 15-10  (역촌동)";"삼호에너지";1970-07-10;NA
"26";"폐업";"서울특별시 성동구 금호동3가 1116 ";"서울특별시 성동구 무수막길 59  (금호동3가)";"덕수 상회";1970-07-28;NA
"27";"영업/정상";"서울특별시 구로구 구로동 754-4 754-5,754-6,754-7,754-10 ";"서울특별시 구로구 구로동로 137 (구로동,754-5,754-6,754-7,754-10)";"구로주유소";1970-08-15;NA
"28";"영업/정상";"서울특별시 도봉구 도봉동 561-6 ";"서울특별시 도봉구 도봉로 895 (도봉동)";"지에스칼텍스(주) 도봉주유소";1970-09-26;NA
"29";"취소/말소/만료/정지/중지";"서울특별시 마포구 도화동 174-1 ";"서울특별시 마포구 마포대로 69 (도화동)";"(주)양지주유소";1970-10-13;NA
"30";"폐업";"서울특별시 구로구 고척동 51-1 현대상가 7동 102호";"서울특별시 구로구 중앙로10길 21, 7동 102호 (고척동,현대상가)";"고려석유";1970-10-14;NA
"31";"폐업";"서울특별시 광진구 자양동 615-2 ";"서울특별시 광진구 뚝섬로 607-5 (자양동)";"대성칼텍스(주)";1970-10-15;"20150715"
"32";"폐업";"서울특별시 은평구 불광동 366-5 ";"서울특별시 은평구 연서로33길 3-1  (불광동)";"고려석유";1970-10-27;NA
