"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"1";" Open / Normal ";" Seoul Jongno-gu Gyeongun-dong 96-18";" Seoul Jongno-gu 58 Yulgok-ro ( Gyeongun-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Jaedong Gas Station ";1959-09-10;NA
"2";" Closed ";" Seoul Metropolitan City Guro-gu Guro-dong 551-95 ";" Seoul Guro-gu 44 Ga-gil, 32 Gurojungang-ro ( Guro-dong )";" Shinshin Petrochemical ";1960-06-23;"20160422"
"3";" Closed ";" Seoul Metropolitan City Seongbuk-gu Jangwi-dong 68-632 ";" Seoul Seongbuk-gu Hwarang-ro 19 Ga-gil 9 ( Jangwi-dong )";" Manseok Store ";1968-08-08;"20080101"
"4";" Closed ";" Seoul Metropolitan City Jongno-gu Ikseon-dong 123-2 ";" Seoul Jongno-gu 46 Samil-daero 30- gil ( Ikseon-dong )";" Brother Petroleum ";1968-08-31;"20170529"
"5";" Closed ";" Seoul Metropolitan City Jongno-gu Sajik-dong 65-1 ";NA;" Sunheung Petroleum ";1968-09-13;NA
"6";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Nokbeon-dong 117-111 ";" Seoul Eunpyeong-gu 196 Jinheung-ro ( Nokbeon-dong )";" Hwanghae Petroleum ";1968-09-23;"20130418"
"7";" Closed ";" Seoul Metropolitan City Dobong-gu Changdong 715-14 ";" Seoul Dobong-gu 558 Dobong-ro ( Changdong )";" Directly managed by Hyundai Oilbank Co. , Ltd. Changdong Gas Station ";1968-11-06;"20131031"
"8";" Closed ";" Seoul Metropolitan City Seongbuk-gu Jangwi-dong 225-53 ";" Seoul Seongbuk-gu Jangwi-ro 59 ( Jangwi-dong )";" Dongbang Petroleum ";1968-11-07;"20080101"
"9";" Closed ";" Seoul Metropolitan City Seodaemun-gu 174-21 Bukahyeon-dong ";NA;" Bukahyeon Petrochemical ";1968-11-18;"20110613"
"10";" Closed ";" Seoul Metropolitan City Seongbuk-gu 633-1 Gireum-dong ";NA;" Chilbo Oil ";1968-11-19;"20080101"
"11";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 55-9 Nokbeon-dong ";" Seoul Eunpyeong-gu 606 Tongil-ro ( Nokbeon-dong )";" Western Petroleum ";1968-11-21;NA
