"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","자본금","거래처"
"3220000","2002322008301500083","2002-07-10","","01","영업/정상","01","신규등록","","","","","34113271","1288","","서울특별시 강남구 대치동 2-7 대치동 주유소","서울특별시 강남구 남부순환로 3170, 대치동 주유소 (대치동)","06332","지에스칼텍스(주)학여울주유소","2023-10-27 13:13:18","U","2022-10-30 22:09:00.0","주유소","206780.957655617","444026.085376535","",""
"3150000","2008315010001219911","2008-04-04","","03","폐업","03","폐지","2023-03-31","","","","","","","서울특별시 강서구 등촌동 651-13","서울특별시 강서구 공항대로55길 9 (등촌동)","","SK그린에너지","2023-03-31 10:55:00","U","2022-12-04 00:02:00.0","일반판매소","187613.276168061","450158.253528778","",""
"3190000","2019319017701200001","2019-06-26","","01","영업/정상","01","신규등록","","","","","","26","","서울특별시 동작구 상도동 355-20","서울특별시 동작구 성대로1길 17 (상도동)","06959","남양에너지","2023-03-10 17:20:58","U","2022-12-02 23:02:00.0","일반판매소","194076.692856266","444318.185903254","",""
"3130000","1993313011801500022","1993-11-29","","02","휴업","05","사업휴지","","2023-10-16","2024-03-31","","02  373 3314","347","","서울특별시 마포구 성산동 200-4","서울특별시 마포구 월드컵북로 170 (성산동)","","주식회사타이거통상 월드컵주유소","2023-11-15 10:42:24","U","2022-10-31 23:07:00.0","주유소","191961.827163845","451692.303107203","",""
"3160000","1993316007101500036","1993-07-24","","01","영업/정상","06","휴지사업재개","","2012-02-21","2012-08-20","","02 8615189","1056.6","","서울특별시 구로구 구로동 100-10","서울특별시 구로구 구로중앙로 76 (구로동)","","(주)한미석유 구로그린주유소","2023-03-27 16:41:48","U","2022-12-02 22:09:00.0","주유소","190065.327992466","443794.958059779","",""
"3230000","1992323013101500002","1992-12-21","","01","영업/정상","01","신규등록","","","","","000204177111","575.9","","서울특별시 송파구 석촌동 295","서울특별시 송파구 송파대로 397 (석촌동)","","에이치디현대오일뱅크(주)직영 잠실셀프주유소","2023-04-07 10:02:11","U","2022-12-04 00:09:00.0","주유소","209565.447766053","444507.063565578","",""
"3040000","1992304007301500017","1992-04-20","","01","영업/정상","06","휴지사업재개","","2014-07-01","2014-07-31","2014-07-30","02 4527723","2692","","서울특별시 광진구 능동 236-4 236-5, 236-24","서울특별시 광진구 천호대로 584 (능동)","","에이치디현대오일뱅크(주)직영 능동주유소","2023-04-07 11:14:29","U","2022-12-04 00:09:00.0","주유소","207216.133825235","450367.951561537","",""
"3150000","1989315010001200001","1989-04-07","","03","폐업","03","폐지","2016-04-14","","","","02 26606432","","","서울특별시 강서구 방화동 499-1","서울특별시 강서구 양천로 13 (방화동)","","한국공항(주)","2023-04-19 10:40:41","U","2022-12-03 22:02:00.0","항공유판매소","182749.273937321","452356.969191781","",""
"3150000","2003315007401200001","2003-10-30","","03","폐업","03","폐지","2023-03-31","","","","02   2644001","","","서울특별시 강서구 화곡동 471-9","서울특별시 강서구 등촌로13바길 46 (화곡동)","","OK석유","2023-03-31 10:49:26","U","2022-12-04 00:02:00.0","일반판매소","187323.429228598","448197.575401304","",""
"3150000","2002315007401224101","2002-10-28","","03","폐업","03","폐지","2023-03-31","","","","026941947","","","서울특별시 강서구 화곡동 342-25","서울특별시 강서구 강서로12길 8-29 (화곡동)","","경동석유","2023-03-31 10:46:41","U","2022-12-04 00:02:00.0","일반판매소","186566.134716039","447667.884671023","",""
"3050000","1997305008201200004","1997-09-29","","03","폐업","03","폐지","2023-03-31","","","","","","","서울특별시 동대문구 용두동 39-110","서울특별시 동대문구 천호대로31길 23 (용두동)","","삼화석유","2023-04-05 14:57:15","U","2022-12-04 00:07:00.0","일반판매소","203525.882570255","452485.928792635","",""
"3100000","2001310009601500923","2001-12-27","","01","영업/정상","01","신규등록","","","","","0233920473","765","","서울특별시 노원구 상계동 1205-7","서울특별시 노원구 동일로 1772 (상계동)","","(주)소모 수락산셀프주유소","2023-04-06 15:11:52","U","2022-12-04 00:08:00.0","주유소","204854.051421931","464917.553024908","",""
"3160000","1989316007101500010","1989-04-26","","01","영업/정상","01","신규등록","","","","","8685758","611.7","","서울특별시 구로구 구로동 685-500","서울특별시 구로구 구일로 94 (구로동)","","SK구로주유소","2023-04-28 16:57:45","U","2022-12-03 21:00:00.0","주유소","188627.449749605","443496.638892094","",""
"3170000","2004317008301500003","1976-05-10","","01","영업/정상","06","휴지사업재개","","","","","02 8965145","1045.1","","서울특별시 금천구 시흥동 939-4 (시흥대로 569)","서울특별시 금천구 시흥대로 118 (시흥동)","","지에스칼텍스(주) 일신주유소","2023-05-17 09:27:49","U","2022-12-04 23:09:00.0","주유소","191458.481116853","438040.641203477","",""
"3070000","1989307009901200001","1989-08-24","","01","영업/정상","01","신규등록","","","","","02  22170009","","","서울특별시 성북구 동선동5가 40","서울특별시 성북구 아리랑로4길 17 (동선동5가)","","풍성석유","2023-05-22 13:05:28","U","2022-12-04 22:04:00.0","일반판매소","201421.450037668","454734.997758567","",""
"3090000","1990309010501200002","1990-12-27","","03","폐업","03","폐지","2023-05-24","","","","02  905 6108","","","서울특별시 도봉구 창동 578-132 2통8반","서울특별시 도봉구 덕릉로59가길 56 (창동)","","율촌에너지","2023-05-25 10:18:58","U","2022-12-04 22:07:00.0","일반판매소","203173.719956482","459570.932834528","",""
"3230000","2003323007801500009","2003-10-02","","01","영업/정상","01","신규등록","","","","","02 4243051","339","","서울특별시 송파구 방이동 132-1","서울특별시 송파구 위례성대로12길 38 (방이동)","","방이주유소","2023-06-14 11:02:57","U","2022-12-05 23:06:00.0","주유소","210612.607640766","445390.322655378","",""
"3050000","1993305008201500031","1993-12-30","","01","영업/정상","01","신규등록","","","","","0222172017","825.5","","서울특별시 동대문구 장안동 387-1","서울특별시 동대문구 답십리로 258 (장안동)","","삼영주유소","2023-07-06 14:13:49","U","2022-12-07 00:08:00.0","주유소","206010.215000823","452226.220265137","",""
"3040000","1992304007301500014","1992-04-20","","01","영업/정상","07","영업개시","","2012-10-04","2012-11-28","2012-11-29","02 4981981","539.81","","서울특별시 광진구 군자동 134-53","서울특별시 광진구 동일로 266 (군자동)","","(주)장수주유소","2023-04-07 15:50:16","U","2022-12-04 00:09:00.0","주유소","206249.933540519","450302.476863805","",""
"3180000","1976318007601500004","2005-09-26","","01","영업/정상","01","신규등록","","","","","02  26332716","491","","서울특별시 영등포구 양평동4가 28","서울특별시 영등포구 선유로 260 (양평동4가)","","제2한강주유소","2023-03-13 10:48:33","U","2022-12-02 23:05:00.0","주유소","190911.17578689","448147.790559991","",""
"3070000","1997307009901200001","1997-08-11","","01","영업/정상","01","신규등록","","","","","02  915 1916","","","서울특별시 성북구 장위동 233-592","서울특별시 성북구 장위로 78-1 (장위동)","","경동석유","2023-04-03 17:05:15","U","2022-12-04 00:05:00.0","일반판매소","203938.158095382","456828.052464485","",""
"3140000","1992314007001500022","1992-04-14","","02","휴업","05","사업휴지","","2023-07-01","2024-07-01","","0226472122","1984.5","","서울특별시 양천구 신정동 161-5","서울특별시 양천구 안양천로 657 (신정동)","","(주)부흥에너지 평화주유소","2023-07-19 11:20:04","U","2022-12-06 22:01:00.0","주유소","188513.361632361","444866.075006676","",""
"3230000","2019323024801500001","2019-02-01","","01","영업/정상","07","영업개시","","","","","02-409-5185","2586","","서울특별시 송파구 장지동 908","서울특별시 송파구 위례중앙로 43 (장지동)","05814","지에스칼텍스(주)스마트 위례 주유소","2023-05-26 16:09:40","U","2022-12-04 22:08:00.0","주유소","211619.961232033","441478.403213437","",""
"3240000","1989324007301500012","1989-10-14","","01","영업/정상","01","신규등록","","","","","02 4793838","1084","","서울특별시 강동구 성내동 108-9 ,107-7","서울특별시 강동구 올림픽로 578 (성내동)","","(주)소모 성내주유소","2023-03-24 14:20:57","U","2022-12-02 22:06:00.0","주유소","","","",""
"3240000","2001324007301500001","1976-05-03","","01","영업/정상","01","신규등록","","","","","02 4752600","1719","","서울특별시 강동구 성내동 439-16","서울특별시 강동구 양재대로 1323 (성내동)","","(주)소모 신월주유소","2023-03-24 14:21:25","U","2022-12-02 22:06:00.0","주유소","","","",""
"3150000","2002315007401224100","2002-07-15","","03","폐업","03","폐지","2017-10-10","","","","0236655177","","","서울특별시 강서구 가양동 54-6 더리브골드타워","서울특별시 강서구 양천로 400-12, 더리브골드타워 (가양동)","07573","(주)코슨 가양영보주유소","2023-03-31 10:44:49","U","2022-12-04 00:02:00.0","일반판매소","186317.207037672","451462.350090067","",""
"3150000","2002315007401500001","2002-01-14","","03","폐업","03","폐지","2017-10-10","","","","0236655177","","","서울특별시 강서구 가양동 54-6","서울특별시 강서구 양천로 400 (가양동)","","(주)코슨직영가양영보주유소","2023-03-31 10:43:57","U","2022-12-04 00:02:00.0","일반판매소","186317.207037672","451462.350090067","",""
"3150000","2001315007401204188","2001-05-22","","03","폐업","03","폐지","2023-03-31","","","","02665 5047","","","서울특별시 강서구 공항동 61-100","서울특별시 강서구 남부순환로 57 (공항동)","","국제공항주유소","2023-03-31 10:38:56","U","2022-12-04 00:02:00.0","일반판매소","","","",""
"3150000","2001315007401200001","2001-03-12","","03","폐업","03","폐지","2016-07-30","","","","02  665 0606","","","서울특별시 강서구 공항동 14-101","서울특별시 강서구 방화대로21길 26 (공항동)","","봉래석유","2023-03-31 10:36:52","U","2022-12-04 00:02:00.0","일반판매소","183590.976274233","451228.538476616","",""
"3150000","2001315007401204187","2001-03-12","","03","폐업","03","폐지","2016-07-30","","","","02665 0606","","","서울특별시 강서구 공항동 14-101","","","봉래석유","2023-03-31 10:37:35","U","2022-12-04 00:02:00.0","일반판매소","183590.976274233","451228.538476616","",""
"3150000","0092315015101200002","1992-02-04","","03","폐업","03","폐지","2015-12-11","","","","36615800","151","","서울특별시 강서구 방화동 281-38","서울특별시 강서구 양천로24길 28 (방화동)","","비전에너지","2023-03-31 10:34:59","U","2022-12-04 00:02:00.0","일반판매소","183621.963028323","452212.274765754","",""
"3040000","2006304007301500001","2006-01-11","","01","영업/정상","01","신규등록","","","","","024615152","347.78","","서울특별시 광진구 중곡동 236-5","서울특별시 광진구 동일로 413 (중곡동)","","정해네트웍스(주)일진주유소","2023-04-05 17:53:50","U","2022-12-04 00:07:00.0","주유소","206821.649810203","451691.914133866","",""
"3220000","1999322008301500103","1999-04-27","","01","영업/정상","01","신규등록","","","","","02 5650267","1008","","서울특별시 강남구 대치동 913-18","서울특별시 강남구 삼성로 335 (대치동)","","㈜소모 쎈트럴주유소","2023-10-27 13:13:00","U","2022-10-30 22:09:00.0","주유소","205159.759314594","444358.161074071","",""
