Business status,Address,Street name address,Business name,License date,Date of closure
영업/정상,서울특별시 강남구 대치동 2-7 대치동 주유소,"서울특별시 강남구 남부순환로 3170, 대치동 주유소 (대치동)",지에스칼텍스(주)학여울주유소,2002-07-10,
폐업,서울특별시 강서구 등촌동 651-13,서울특별시 강서구 공항대로55길 9 (등촌동),SK그린에너지,2008-04-04,2023-03-31
영업/정상,서울특별시 동작구 상도동 355-20,서울특별시 동작구 성대로1길 17 (상도동),남양에너지,2019-06-26,
휴업,서울특별시 마포구 성산동 200-4,서울특별시 마포구 월드컵북로 170 (성산동),주식회사타이거통상 월드컵주유소,1993-11-29,
영업/정상,서울특별시 구로구 구로동 100-10,서울특별시 구로구 구로중앙로 76 (구로동),(주)한미석유 구로그린주유소,1993-07-24,
영업/정상,서울특별시 송파구 석촌동 295,서울특별시 송파구 송파대로 397 (석촌동),에이치디현대오일뱅크(주)직영 잠실셀프주유소,1992-12-21,
영업/정상,"서울특별시 광진구 능동 236-4 236-5, 236-24",서울특별시 광진구 천호대로 584 (능동),에이치디현대오일뱅크(주)직영 능동주유소,1992-04-20,
폐업,서울특별시 강서구 방화동 499-1,서울특별시 강서구 양천로 13 (방화동),한국공항(주),1989-04-07,2016-04-14
폐업,서울특별시 강서구 화곡동 471-9,서울특별시 강서구 등촌로13바길 46 (화곡동),OK석유,2003-10-30,2023-03-31
폐업,서울특별시 강서구 화곡동 342-25,서울특별시 강서구 강서로12길 8-29 (화곡동),경동석유,2002-10-28,2023-03-31
폐업,서울특별시 동대문구 용두동 39-110,서울특별시 동대문구 천호대로31길 23 (용두동),삼화석유,1997-09-29,2023-03-31
영업/정상,서울특별시 노원구 상계동 1205-7,서울특별시 노원구 동일로 1772 (상계동),(주)소모 수락산셀프주유소,2001-12-27,
영업/정상,서울특별시 구로구 구로동 685-500,서울특별시 구로구 구일로 94 (구로동),SK구로주유소,1989-04-26,
영업/정상,서울특별시 금천구 시흥동 939-4 (시흥대로 569),서울특별시 금천구 시흥대로 118 (시흥동),지에스칼텍스(주) 일신주유소,1976-05-10,
영업/정상,서울특별시 성북구 동선동5가 40,서울특별시 성북구 아리랑로4길 17 (동선동5가),풍성석유,1989-08-24,
폐업,서울특별시 도봉구 창동 578-132 2통8반,서울특별시 도봉구 덕릉로59가길 56 (창동),율촌에너지,1990-12-27,2023-05-24
영업/정상,서울특별시 송파구 방이동 132-1,서울특별시 송파구 위례성대로12길 38 (방이동),방이주유소,2003-10-02,
영업/정상,서울특별시 동대문구 장안동 387-1,서울특별시 동대문구 답십리로 258 (장안동),삼영주유소,1993-12-30,
영업/정상,서울특별시 광진구 군자동 134-53,서울특별시 광진구 동일로 266 (군자동),(주)장수주유소,1992-04-20,
영업/정상,서울특별시 영등포구 양평동4가 28,서울특별시 영등포구 선유로 260 (양평동4가),제2한강주유소,2005-09-26,
영업/정상,서울특별시 성북구 장위동 233-592,서울특별시 성북구 장위로 78-1 (장위동),경동석유,1997-08-11,
휴업,서울특별시 양천구 신정동 161-5,서울특별시 양천구 안양천로 657 (신정동),(주)부흥에너지 평화주유소,1992-04-14,
영업/정상,서울특별시 송파구 장지동 908,서울특별시 송파구 위례중앙로 43 (장지동),지에스칼텍스(주)스마트 위례 주유소,2019-02-01,
영업/정상,"서울특별시 강동구 성내동 108-9 ,107-7",서울특별시 강동구 올림픽로 578 (성내동),(주)소모 성내주유소,1989-10-14,
영업/정상,서울특별시 강동구 성내동 439-16,서울특별시 강동구 양재대로 1323 (성내동),(주)소모 신월주유소,1976-05-03,
폐업,서울특별시 강서구 가양동 54-6 더리브골드타워,"서울특별시 강서구 양천로 400-12, 더리브골드타워 (가양동)",(주)코슨 가양영보주유소,2002-07-15,2017-10-10
폐업,서울특별시 강서구 가양동 54-6,서울특별시 강서구 양천로 400 (가양동),(주)코슨직영가양영보주유소,2002-01-14,2017-10-10
폐업,서울특별시 강서구 공항동 61-100,서울특별시 강서구 남부순환로 57 (공항동),국제공항주유소,2001-05-22,2023-03-31
폐업,서울특별시 강서구 공항동 14-101,서울특별시 강서구 방화대로21길 26 (공항동),봉래석유,2001-03-12,2016-07-30
폐업,서울특별시 강서구 공항동 14-101,,봉래석유,2001-03-12,2016-07-30
폐업,서울특별시 강서구 방화동 281-38,서울특별시 강서구 양천로24길 28 (방화동),비전에너지,1992-02-04,2015-12-11
영업/정상,서울특별시 광진구 중곡동 236-5,서울특별시 광진구 동일로 413 (중곡동),정해네트웍스(주)일진주유소,2006-01-11,
영업/정상,서울특별시 강남구 대치동 913-18,서울특별시 강남구 삼성로 335 (대치동),㈜소모 쎈트럴주유소,1999-04-27,
영업/정상,서울특별시 영등포구 도림동 71,서울특별시 영등포구 도신로 151 (도림동),주식회사 강서오일,2003-06-04,
영업/정상,서울특별시 송파구 석촌동 14-12,서울특별시 송파구 백제고분로 289 (석촌동),대성석유(주)석촌주유소,1989-03-17,
폐업,서울특별시 송파구 송파동 51-2,서울특별시 송파구 오금로18길 6 (송파동),형제석유,1990-11-06,
영업/정상,서울특별시 송파구 석촌동 217-17,서울특별시 송파구 삼학사로 22 (석촌동),한강에너지(주)퍼스트주유소,2001-07-26,
영업/정상,서울특별시 동대문구 제기동 779,서울특별시 동대문구 고산자로 502 (제기동),성동사석유,1984-07-19,
영업/정상,서울특별시 광진구 구의동 203-31,서울특별시 광진구 구의로16길 21 (구의동),SK에너지,1996-04-26,
영업/정상,서울특별시 강북구 번동 436-38,서울특별시 강북구 덕릉로 158 (번동),㈜미래아스팔트 덕릉로주유소,2006-08-23,
영업/정상,서울특별시 강남구 역삼동 719-4 도원빌딩,"서울특별시 강남구 테헤란로 222, 도원빌딩 8층 (역삼동)",㈜그린오션화학,2023-04-07,
영업/정상,서울특별시 송파구 문정동 150-21,서울특별시 송파구 중대로 58 (문정동),(주)삼표에너지훼미리주유소,1994-12-02,
영업/정상,서울특별시 강북구 수유동 168-3,서울특별시 강북구 도봉로 395 (수유동),수유동주유소,1995-08-10,
영업/정상,서울특별시 송파구 석촌동 210-16,서울특별시 송파구 삼학사로 50 (석촌동),(주)지에스이앤알송파제일주유소,1993-12-10,
영업/정상,서울특별시 동대문구 전농동 680-3,서울특별시 동대문구 답십리로15길 23 (전농동),구산에너지,1983-09-13,
영업/정상,서울특별시 중랑구 면목동 146-72,서울특별시 중랑구 동일로 636 (면목동),(주)자연에너지 대창주유소,2007-05-17,
영업/정상,서울특별시 송파구 방이동 109-6,서울특별시 송파구 오금로 143 (방이동),백제고분로셀프주유소,1993-12-10,
영업/정상,서울특별시 강북구 번동 112,서울특별시 강북구 월계로 195 (번동),에덴주유소,1994-11-12,
영업/정상,서울특별시 강북구 수유동 472-211 212,서울특별시 강북구 삼양로 316 (수유동),(주)석산에너지,1992-04-24,
영업/정상,서울특별시 강북구 수유동 277-20,서울특별시 강북구 삼양로 484 (수유동),대성석유(주)신광주유소,1986-07-09,
영업/정상,서울특별시 강북구 번동 428-38,서울특별시 강북구 한천로 918 (번동),세원주유소,1986-06-20,
영업/정상,서울특별시 강남구 신사동 503-1,서울특별시 강남구 강남대로 640 (신사동),대교주유소,1994-01-21,
영업/정상,서울특별시 강남구 삼성동 38-21,서울특별시 강남구 봉은사로 433 (삼성동),주식회사 만정에너지,1993-12-29,
영업/정상,서울특별시 종로구 중학동 14 ,서울특별시 종로구 율곡로 6 (중학동),주식회사 대양씨앤씨 경복궁주유소,19690706,
영업/정상,서울특별시 서대문구 연희동 194-32 SK삼보주유소,"서울특별시 서대문구 연희로 78, SK삼보주유소 (연희동)",(주)안국에너지 삼보주유소,2004-05-18,
영업/정상,서울특별시 서대문구 홍제동 330-61,서울특별시 서대문구 통일로 455 (홍제동),(주)창원이엔지 홍제지점,2004-05-17,
영업/정상,서울특별시 중랑구 신내동 352,서울특별시 중랑구 용마산로 705 (신내동),신내주유소,2006-08-01,
영업/정상,서울특별시 마포구 공덕동 105-128,서울특별시 마포구 마포대로 186 (공덕동),에쓰-오일주식회사 마포주유소,1993-05-20,
영업/정상,서울특별시 성북구 보문동7가 137,서울특별시 성북구 보문로 27 (보문동7가),이케이에너지(주) 강산주유소,1994-06-09,
영업/정상,서울특별시 광진구 중곡동 235-2,서울특별시 광진구 동일로 398 (중곡동),에이치디현대오일뱅크(주) 직영 중원주유소,1976-05-24,
영업/정상,서울특별시 송파구 장지동 646-7 위례드림주유소,"서울특별시 송파구 위례중앙로 10, 위례드림주유소 (장지동)",위례드림주유소,2021-12-14,
영업/정상,서울특별시 송파구 오금동 121-1,서울특별시 송파구 동남로 325 (오금동),(주)유진주유소,1995-06-17,
영업/정상,서울특별시 송파구 가락동 137-9,서울특별시 송파구 동남로 153 (가락동),(주)삼표에너지 우리셀프주유소,1995-01-25,
영업/정상,서울특별시 강서구 화곡동 877-1,서울특별시 강서구 곰달래로 166 (화곡동),중앙석유,1981-10-15,
영업/정상,서울특별시 영등포구 신길동 70-1,서울특별시 영등포구 영등포로 399 (신길동),(주)지에스이앤알 보라주유소,1994-01-13,
영업/정상,서울특별시 서초구 우면동 761,서울특별시 서초구 양재대로2길 100-30 (우면동),정해네트웍스(주) 서초 하이웨이 주유소,2013-02-26,
영업/정상,서울특별시 관악구 신림동 1635-113,서울특별시 관악구 문성로 223-1 (신림동),관악석유,1996-05-07,
폐업,서울특별시 은평구 녹번동 59-1,서울특별시 은평구 통일로 600 (녹번동),지에스칼텍스(주)녹번주유소,1976-05-27,2023-09-12
영업/정상,서울특별시 서대문구 연희동 220-55 구도일주유소,"서울특별시 서대문구 성산로 312, 구도일주유소 (연희동)",(주)한화미 구도일주유소 두꺼비,1975-03-08,
영업/정상,서울특별시 강남구 개포동 1164-2,서울특별시 강남구 양재대로 339 (개포동),대양산업(주)개포주유소,1984-10-15,
영업/정상,서울특별시 중랑구 망우동 458-6,서울특별시 중랑구 용마산로 487 (망우동),우림주유소,2006-04-20,
폐업,서울특별시 노원구 공릉동 596-10,서울특별시 노원구 동일로 1008 (공릉동),노원주유소,2001-03-24,2023-08-31
영업/정상,서울특별시 중랑구 면목동 161-17,서울특별시 중랑구 동일로 600 (면목동),대원주유소,2003-10-01,
영업/정상,서울특별시 중랑구 신내동 347-2,서울특별시 중랑구 용마산로 716 (신내동),(주)기지에너지,2001-02-09,
영업/정상,서울특별시 구로구 궁동 283-2,서울특별시 구로구 오리로 1299 (궁동),(주)서울에너지 궁동주유소,1992-08-26,
영업/정상,서울특별시 중랑구 면목동 175-1,서울특별시 중랑구 동일로 627 (면목동),면목self주유소,1994-01-27,
영업/정상,서울특별시 동작구 상도동 190-1,서울특별시 동작구 상도로 139 (상도동),매일주유소,1993-12-28,
영업/정상,서울특별시 중구 필동2가 51-1,서울특별시 중구 퇴계로 228 (필동2가),SK에너지 직영 퇴계로주유소,1976-05-27,
영업/정상,서울특별시 영등포구 영등포동 426-90,서울특별시 영등포구 경인로 822 (영등포동),(주)대경유업 영등포현대셀프,2003-10-01,
영업/정상,서울특별시 도봉구 창동 603-84,서울특별시 도봉구 덕릉로 267 (창동),대성산업(주)신창주유소,1989-10-13,
영업/정상,서울특별시 도봉구 방학동 705-15,서울특별시 도봉구 도봉로 706 (방학동),구도일주유소 도봉,1976-05-24,
영업/정상,서울특별시 강남구 신사동 563-10,서울특별시 강남구 도산대로 163 (신사동),에이치디현대오일뱅크(주) 직영 신사현대주유소,1994-02-08,
영업/정상,서울특별시 중랑구 면목동 155-57,서울특별시 중랑구 동일로 654 (면목동),주식회사한화미 구도일주유소동천,1993-12-30,
영업/정상,서울특별시 중랑구 상봉동 109-45,서울특별시 중랑구 봉우재로 105 (상봉동),대양주유소,1992-04-24,
영업/정상,서울특별시 도봉구 쌍문동 103-7,서울특별시 도봉구 도봉로 437 (쌍문동),삼미상사(주)북부주유소,1970-06-22,
영업/정상,서울특별시 중구 장충동1가 31-1 ,서울특별시 중구 장충단로 202 (장충동1가),서울석유(주) 장충주유소,19760521,
폐업,서울특별시 동대문구 이문동 255-119 ,,신사3주유소,19861104,20000101
영업/정상,서울특별시 성북구 석관동 94-7,서울특별시 성북구 한천로66길 49 (석관동),(주)동화오일,1999-07-26,
영업/정상,서울특별시 도봉구 창동 650-65,서울특별시 도봉구 도봉로 434 (창동),동일석유(주)창동주유소,1995-02-09,
