"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"전국",51692272,25835298,25856974,49939926,24866514,25073412,1752346,968784,783562,22383187,21773507,17212,592468,19155585,3860997,12268973,530985,2283238,211392,1162311
"읍부",5098892,2621409,2477483,4879206,2484040,2395166,219686,137369,82317,2162312,2096426,2473,63413,2050655,583479,1210871,81057,143781,31467,81935
"면부",4506486,2348865,2157621,4244198,2162250,2081948,262288,186615,75673,2101117,2035906,4051,61160,2113084,1543756,426992,37634,72426,32276,110037
"동부",42086894,20865024,21221870,40816522,20220224,20596298,1270372,644800,625572,18119758,17641175,10688,467895,14991846,1733762,10631110,412294,2067031,147649,970339
"서울특별시",9417469,4547051,4870418,9056522,4381802,4674720,360947,165249,195698,4252134,4098818,2423,150893,3111323,293489,1851242,110418,828773,27401,287651
"종로구",147512,70318,77194,135107,65264,69843,12405,5054,7351,69831,64422,119,5290,46810,11823,15923,5532,12651,881,6847
"중구",125257,59795,65462,113309,54386,58923,11948,5409,6539,61620,56260,81,5279,42401,5751,26366,1879,7572,833,7420
"용산구",219289,105474,113815,203463,97157,106306,15826,8317,7509,103974,98483,79,5412,77116,13450,39805,3887,19309,665,7299
"성동구",282131,136734,145397,271540,132102,139438,10591,4632,5959,127790,122873,76,4841,90740,9410,68125,2058,10177,970,7128
"광진구",346519,165843,180676,326453,157253,169200,20066,8590,11476,166046,156463,78,9505,93555,14901,33862,4158,39240,1394,9534
"동대문구",350709,169670,181039,328651,161239,167412,22058,8431,13627,166787,155912,124,10751,106441,16110,68445,3298,17090,1498,14168
"중랑구",379127,185196,193931,372054,182393,189661,7073,2803,4270,173424,170544,65,2815,118357,17751,59121,4466,35535,1484,5382
"성북구",436113,207284,228829,421015,201519,219496,15098,5765,9333,190541,183972,227,6342,142602,20892,83701,6146,30510,1353,4192
"강북구",287788,138515,149273,282191,136441,145750,5597,2074,3523,133870,131275,93,2502,99477,17134,35997,4867,40483,996,3095
"도봉구",304137,146600,157537,300792,145412,155380,3345,1188,2157,130115,128975,79,1061,109190,8381,65664,4229,30210,706,4978
"노원구",496423,238120,258303,490547,235612,254935,5876,2508,3368,206796,205078,94,1624,192022,6519,166131,3487,15212,673,3242
"은평구",454649,216315,238334,449047,214001,235046,5602,2314,3288,198082,196206,107,1769,160630,14469,67705,5831,71420,1205,10792
"서대문구",318308,146857,171451,301315,141124,160191,16993,5733,11260,143327,136043,124,7160,105047,12239,57952,5457,28507,892,7650
"마포구",362408,168768,193640,349081,163697,185384,13327,5071,8256,171619,165603,85,5931,127057,10720,74959,3080,36850,1448,17524
"양천구",426981,208521,218460,421738,206300,215438,5243,2221,3022,171291,169344,48,1899,146886,7519,92705,3965,41885,812,6884
"강서구",555999,266085,289914,547558,262432,285126,8441,3653,4788,257613,254540,94,2979,201611,9717,117945,4751,68125,1073,33372
"구로구",424038,210737,213301,380955,187049,193906,43083,23688,19395,188054,169228,91,18735,137403,11182,86340,7518,31551,812,16446
"금천구",247185,125201,121984,222097,111677,110420,25088,13524,11564,121987,110689,60,11238,72044,8507,33231,3929,25869,508,14877
