District,Count,Population
Gangnam-gu,12173,500149
Guro-gu,3799,424038
Seocho-gu,3495,383181
Yeongdeungpo-gu,2388,401805
Songpa-gu,1988,635758
Gangseo-gu,1776,555999
Seongdong-gu,1461,282131
Gangdong-gu,1293,448655
Mapo-gu,1086,362408
Yangcheon-gu,998,426981
Yongsan-gu,968,219289
Jung-gu,968,125257
Seongbuk-gu,926,436113
Eunpyeong-gu,901,454649
Nowon-gu,896,496423
Jungnang-gu,778,379127
Gwanak-gu,777,496743
Dongjak-gu,726,386605
Seodaemun-gu,669,318308
Dongdaemun-gu,659,350709
Dobong-gu,639,304137
Gwangjin-gu,623,346519
Jongno-gu,611,147512
Geumcheon-gu,561,247185
Gangbuk-gu,514,287788
